	A1	A2	A3	A4	A5	A6	A7
Intercept	0.756299042551063	0.0288143304287348	-0.426663648121807	-1.28857788424045	0.930981795827005	0.112180315283685	-0.11303395172823
ACTN4	-0.17930120703916	0	0	0	0	0	0
ALG13	0.0725755600830435	0	0	0	0	0	0
AP3S1	0.0275385007107411	0	0	0	0	0	0
ATP6V1G2	0.144104100339176	0	0	0	0	0	0
CADPS	0.0264042559167232	0	0	0	0	0	0
CAPZB	-0.0106234941987111	0	0	0	0	0	0
CCDC136	0.0044534880888699	0	0	0	0	0	0
CLCN7	-0.0277289430784824	0	0	0	0	0	0
COG7	-0.0192548880798772	0	0	0	0	0	0
CORO1A	-0.0287339760302901	0	0	0	0	0	0
EBAG9	0.0483915211910596	0	0	0	0	0	0
EYS	0.116713211182349	0	0	0	0	0	0
GPR82	0.0517859602839582	0	0	0	0	0	0
HEXIM1	-0.0399398332910404	0	0	0	0	0	0
HNRNPA2B1	-0.263562846377635	0	0	0	0	0	0
HNRNPU	-0.180400333118453	0	0	0	0	0	0
HSD11B1L	0.00844829436790702	0	0	0	0	0	0
IST1	-0.0181062766457124	0	0	0	0	0	0
JAK1	-0.096044658706438	0	0	0	0	0	0
LRRC37A3	0.0157771318923004	0	0	0	0	0	0
LYRM1	0.0650114914698428	0	0	0	0	0	0
MAP3K14	-0.0234059920645812	0	0	0	0	0	0
MAPK14	-0.0279203619945904	0	0	0	0	0	0
MAT2A	-0.118447227675535	0	0	0	0	0	0
MCL1	-0.128204010707277	0	0	0	0	0	0
MVB12A	0.00465240966084879	0	0	0	0	0	0
NACA	0.0156803747851066	0	0	0	0	0	0
NFKBIA	-0.0837337146053363	0	0	0	0	0	0
NRXN1	0.00742186558938711	0	0	0	0	0	0
PGAM1	-0.00302552192555581	0	0	0	0.0653881085954715	0	0
PKIA	0.0788347366152782	0	0	0	0	0	0
PPP1R9B	-0.021729455367933	0	0	0	0	0	0
PRPF6	-0.0255587344301471	0	0	0	0	0	0
PTENP1	0.113763112448902	0	0	0	0	0	0
R3HDM1	0.0845275153236778	0	0	0	0	0	0
RPS4X	0.266411120906277	0	0	0	0	0	0
SF1	-0.112109178106395	0	0	0	0	0	0
